Application ID,Application
00000004-0000-0ff1-ce00-000000000000,Microsoft.Lync
00000006-0000-0ff1-ce00-000000000000,Microsoft.Office365Portal
00000003-0000-0ff1-ce00-000000000000,Microsoft.SharePoint
00000005-0000-0000-c000-000000000000,Microsoft.Azure.Workflow
00000009-0000-0000-c000-000000000000,Microsoft.Azure.AnalysisServices
00000002-0000-0ff1-ce00-000000000000,Microsoft.Exchange
00000007-0000-0ff1-ce00-000000000000,Microsoft.ExchangeOnlineProtection
00000002-0000-0000-c000-000000000000,Microsoft.Azure.ActiveDirectory
8fca0a66-c008-4564-a876-ab3ae0fd5cff,Microsoft.SMIT
0000000b-0000-0000-c000-000000000000,Microsoft.SellerDashboard
0000000f-0000-0000-c000-000000000000,Microsoft.Azure.GraphExplorer
0000000c-0000-0000-c000-000000000000,Microsoft App Access Panel
00000013-0000-0000-c000-000000000000,Microsoft.Azure.Portal
00000010-0000-0000-c000-000000000000,Microsoft.Azure.GraphStore
aa9ecb1e-fd53-4aaa-a8fe-7a54de2c1334,Microsoft.Office365.Configure
797f4846-ba00-4fd7-ba43-dac1f8f63013,Windows Azure Service Management API
00000005-0000-0ff1-ce00-000000000000,Microsoft.YammerEnterprise
601d4e27-7bb3-4dee-8199-90d47d527e1c,Microsoft.Office365.ChangeManagement
6f82282e-0070-4e78-bc23-e6320c5fa7de,Microsoft.DiscoveryService
0f698dd4-f011-4d23-a33e-b36416dcb1e6,Microsoft.OfficeClientService
67e3df25-268a-4324-a550-0de1c7f97287,Microsoft.OfficeWebAppsService
ab27a73e-a3ba-4e43-8360-8bcc717114d8,Microsoft.OfficeModernCalendar
595d87a1-277b-4c0a-aa7f-44f8a068eafc,Microsoft.SupportTicketSubmission
e3583ad2-c781-4224-9b91-ad15a8179ba0,Microsoft.ExtensibleRealUserMonitoring
48717084-a59c-4306-9dc4-3f618dbecdf9,"""Napa"" Office 365 Development Tools"
914ed757-9257-4200-b68e-a2bed2f12c5a,RbacBackfill
499b84ac-1321-427f-aa17-267ca6975798,Microsoft.VisualStudio.Online
0000001b-0000-0000-c000-000000000000,Microsoft Power BI Information Service
89f80565-bfac-4c01-9535-9f0eba332ffe,Power BI
433895fb-4ec7-45c3-a53c-c44d10f80d5b,Compromised Account Service
00000012-0000-0000-c000-000000000000,Microsoft.Azure.RMS
8d3a7d3c-c034-4f19-a2ef-8412952a9671,MicrosoftOffice
0469d4cd-df37-4d93-8a61-f8c75b809164,Microsoft Policy Administration Service
31d3f3f5-7267-45a8-9549-affb00110054,Windows Azure RemoteApp Service
8ad28d50-ee26-42fc-8a29-e41ea38461f2,Office365RESTAPIExplorer.Office365App
38285dce-a13d-4107-9b04-3016b941bb3a,BasicDataOperationsREST
92bb96c8-321c-47f9-bcc5-8849490c2b07,BasicSelfHostedAppREST
488a57a0-00e2-4817-8c8d-cf8a15a994d2,WindowsFormsApplication2.Office365App
11c174dc-1945-4a9a-a36b-c79a0f246b9b,AzureApplicationInsights
e6acb561-0d94-4287-bd3a-3169f421b112,Tutum
7b77b3a2-8490-49e1-8842-207cd0899af9,Nearpod
0000000a-0000-0000-c000-000000000000,Microsoft.Intune
93625bc8-bfe2-437a-97e0-3d0060024faa,SelfServicePasswordReset
dee7ba80-6a55-4f3b-a86c-746a9231ae49,MicrosoftAppPlatEMA
803ee9ca-3f7f-4824-bd6e-0b99d720c35c,Azure Media Service
262044b1-e2ce-469f-a196-69ab7ada62d3,Backup Management Service
087a2c70-c89e-463f-8dd3-e3959eabb1a9,Microsoft Profile Service Platform Service
7cd684f4-8a78-49b0-91ec-6a35d38739ba,Azure Logic Apps
c5393580-f805-4401-95e8-94b7a6ef2fc2,Office 365 Management APIs
96231a05-34ce-4eb4-aa6a-70759cbb5e83,MicrosoftAzureRedisCache
b8340c3b-9267-498f-b21a-15d5547fd85e,Hyper-V Recovery Manager
abfa0a7c-a6b6-4736-8310-5855508787cd,Microsoft.Azure.WebSites
